user,use_tue_laptop,right_handed,platform,platform_version
2567,1,0,Windows,10
2568,1,1,Windows,10
2569,1,1,Windows,10
2574,1,1,Windows,10
2577,0,1,Darwin,18.0.0
2578,1,1,Windows,10
2579,1,1,Windows,10
2581,1,0,Windows,10
2587,1,1,Windows,10
2589,1,1,Windows,10
2595,1,0,Windows,10
2596,0,1,Windows,10
2597,1,1,Windows,10
2605,1,1,Windows,10
2606,1,1,Windows,10
2607,1,1,Windows,10
2610,1,1,Windows,10
2616,1,1,Windows,10
2619,1,1,Windows,10
2622,1,1,Windows,10
2625,1,0,Windows,10
2626,0,1,Windows,10
2627,1,0,Windows,10
2628,0,1,Darwin,18.2.0
2629,1,1,Windows,10
2630,1,1,Windows,10
2631,1,1,Windows,10
2635,0,1,Windows,10
2636,1,1,Windows,10
2638,1,1,Windows,10
2640,1,1,Windows,10
2642,0,1,Windows,10
2648,1,1,Windows,10
2650,1,1,Windows,10
2652,1,1,Windows,10
2653,1,1,Windows,10
2654,1,1,Windows,10
2655,0,1,Darwin,18.2.0
2657,1,1,Windows,10
2664,1,0,Windows,10
2665,1,1,Windows,10
2666,1,1,Windows,10
2667,1,0,Windows,10
2669,0,1,Darwin,18.2.0
2670,1,1,Windows,10
2671,1,1,Windows,10
2672,1,1,Windows,10
2673,1,1,Windows,10
2676,0,1,Windows,10
2681,1,1,Windows,10
2683,1,1,Windows,10
2686,0,1,Windows,10
2688,1,0,Windows,10
2691,1,1,Windows,10
2693,1,1,Windows,10
2694,1,1,Windows,10
2695,1,1,Windows,10
2698,1,1,Windows,10
2702,1,1,Windows,10
2705,1,1,Windows,10
2706,1,1,Windows,10
2707,1,0,Windows,10
2710,1,1,Windows,10
2712,1,1,Windows,10
2713,1,1,Windows,10
2714,1,1,Windows,10
2715,0,1,Windows,10
2719,1,0,Windows,10
2723,1,1,Windows,10
2725,1,1,Windows,10
2726,1,1,Windows,10
2729,1,1,Windows,10
